,number,value,datetime_start,datetime_complete,duration,params_dim_hidden,params_n_layers,params_w0,state
54,54,0.33189594745635986,2022-12-13 20:21:17.306130,2022-12-13 20:22:19.700787,0 days 00:01:02.394657,128,3,1.0087298119535255,COMPLETE
55,55,0.05984322354197502,2022-12-13 20:22:19.723975,2022-12-13 20:23:21.735386,0 days 00:01:02.011411,192,3,9.181199288128719,COMPLETE
56,56,0.7412827610969543,2022-12-13 20:23:21.763682,2022-12-13 20:24:21.382337,0 days 00:00:59.618655,256,1,16.3130876328353,COMPLETE
57,57,0.059891488403081894,2022-12-13 20:24:21.434660,2022-12-13 20:25:26.098366,0 days 00:01:04.663706,256,3,20.757291379681565,COMPLETE
58,58,0.046989262104034424,2022-12-13 20:25:26.142851,2022-12-13 20:26:35.146095,0 days 00:01:09.003244,192,4,6.781216567780988,COMPLETE
59,59,0.18971391022205353,2022-12-13 20:26:35.216085,2022-12-13 20:27:37.912365,0 days 00:01:02.696280,128,4,37.87768690051269,COMPLETE
60,60,0.053972337394952774,2022-12-13 20:27:37.939250,2022-12-13 20:28:45.807325,0 days 00:01:07.868075,256,3,11.354143540308469,COMPLETE
61,61,0.5763496160507202,2022-12-13 20:28:45.833945,2022-12-13 20:29:39.336350,0 days 00:00:53.502405,64,4,16.926905595050457,COMPLETE
62,62,0.07734791934490204,2022-12-13 20:29:39.362575,2022-12-13 20:30:35.526445,0 days 00:00:56.163870,192,4,4.480873396946823,COMPLETE
63,63,0.03737402707338333,2022-12-13 20:30:35.553339,2022-12-13 20:31:32.020834,0 days 00:00:56.467495,256,4,12.796807653368043,COMPLETE
64,64,0.045015592128038406,2022-12-13 20:31:32.048311,2022-12-13 20:32:29.080157,0 days 00:00:57.031846,256,4,15.003493843578626,COMPLETE
65,65,0.06898874044418335,2022-12-13 20:32:29.109880,2022-12-13 20:33:41.580621,0 days 00:01:12.470741,256,3,62.39395358767735,COMPLETE
66,66,0.0359344519674778,2022-12-13 20:33:41.632234,2022-12-13 20:34:55.680337,0 days 00:01:14.048103,256,4,7.5128314460667625,COMPLETE
67,67,0.03667676821351051,2022-12-13 20:34:55.703744,2022-12-13 20:36:01.232415,0 days 00:01:05.528671,256,4,10.284820839282514,COMPLETE
68,68,0.03304183483123779,2022-12-13 20:36:01.265183,2022-12-13 20:37:07.571588,0 days 00:01:06.306405,256,4,10.565621032921296,COMPLETE
69,69,0.033076755702495575,2022-12-13 20:37:07.594347,2022-12-13 20:38:05.726672,0 days 00:00:58.132325,256,4,9.082564891572268,COMPLETE
70,70,0.04646173119544983,2022-12-13 20:38:05.754066,2022-12-13 20:39:01.928730,0 days 00:00:56.174664,256,4,10.540188716448958,COMPLETE
